Date,ABT,AAPL,T,BAC,BRK-B,CVX,CSCO,C,KO,COP,XOM,GE,GS,GOOG,HPQ,IBM,INTC,JNJ,JPM,MCD,MRK,MSFT,ORCL,PEP,PFE,PG,SLB,VZ,WMT,WFC
20070427,-0.00270741,0.01092675,-0.00826193,0.00089206,0.00041345,-0.00114992,0.01807910,-0.00368023,-0.00042337,-0.00982256,-0.00240867,0.02784000,-0.00238707,-0.00450975,0.00609162,0.00263769,-0.00997506,-0.00121254,-0.00730668,-0.00568699,-0.01074797,0.03524229,0.00748663,-0.00182331,-0.00403950,-0.00017331,0.00124378,-0.00221029,-0.00748899,-0.00366300
20070430,-0.00252085,-0.00120096,0.00215983,0.00245098,-0.00041328,-0.00374155,-0.01072882,0.00471989,0.00254130,-0.00992000,-0.01220657,0.00062267,-0.02526229,-0.01592869,-0.00363284,0.01031253,-0.01712846,0.00086715,-0.00858720,-0.01372684,-0.00820399,-0.00602837,-0.01539278,-0.00298904,-0.00540784,0.02253423,-0.02387854,0.00791139,-0.00865513,-0.00153186
20070501,0.00699844,-0.00330661,0.00307882,0.00066681,-0.00606395,0.00722230,0.00448766,0.01082516,0.00844951,-0.00226244,0.00353069,0.00653391,-0.00014162,-0.00504901,0.01847351,0.00937402,0.01383906,0.00519841,0.00309342,0.01786129,-0.00894254,0.01534071,-0.01132075,0.00466356,0.00453104,-0.02237667,0.00000000,0.00847724,0.00850683,0.00429580
20070502,0.00308880,0.00924902,-0.00429711,0.00155486,0.00360510,0.00358526,0.03015637,0.00181855,0.00146628,0.00340136,0.00202977,0.00556414,0.00415486,-0.00686567,0.00023866,-0.00918378,0.00606673,-0.00120669,0.00555099,0.01777575,0.00496278,0.00702741,0.01472192,0.00944960,0.00045106,-0.00936362,0.00169683,0.02833126,-0.00088790,-0.00183318
20070503,0.00384911,0.00009961,0.00585697,0.00443557,-0.00027632,0.01171763,0.00108421,0.00363050,0.00376490,0.00823245,0.01080351,0.00092223,0.00945082,0.01599468,-0.00238607,0.00562383,-0.00351759,-0.00241629,0.00286240,-0.00223914,0.00628507,0.01151431,0.00806018,0.00427000,0.01036970,-0.00577630,0.01101073,0.03723887,0.00155521,0.00397919
20070504,0.01552914,0.00408367,0.01471039,0.00022080,0.00359315,-0.00324859,0.00758123,0.00261254,0.00562617,0.00272174,-0.00160321,-0.00522113,0.02608412,-0.00445872,0.02248266,0.00155344,0.00756430,0.00242215,-0.00142712,0.00022442,0.00713808,-0.01310797,0.00053305,0.00163532,0.00758590,0.00651408,-0.00223401,-0.01021600,-0.00177462,0.00243902
20070507,0.01113838,0.03085011,0.00302024,0.00331126,0.01321950,0.00354258,-0.00358295,-0.00400882,0.00766680,0.00223535,0.00347919,0.00246990,-0.00054474,-0.00817202,0.00023392,0.00196464,0.00250250,-0.00345185,0.00204165,-0.00830155,0.00221484,0.00489339,0.00106553,0.00081633,0.01107174,-0.00367326,0.00531766,0.00442347,0.00688889,0.00395377
20070508,-0.00186706,0.01096998,-0.00813008,-0.00022002,-0.01658059,0.00593053,0.01977706,-0.00281747,-0.01007608,-0.00127449,0.00680091,-0.00431167,-0.00999228,-0.00098444,0.02759588,0.00515996,0.00848727,-0.00865951,-0.00529747,-0.00361991,0.00397790,0.00139130,-0.00478978,-0.00489396,-0.00087604,-0.00684691,-0.00501114,-0.00528479,-0.01037299,-0.00696759
20070509,-0.00280584,0.01732343,0.00516090,0.00088028,0.00525152,-0.00379001,-0.06523272,0.00746720,0.00062318,-0.00207370,0.00039735,0.00494896,0.00720283,0.00522697,-0.00182066,0.01057495,0.01485149,0.00646401,0.01413355,0.01044505,-0.00374202,0.00069469,-0.00641711,0.00032787,0.00350723,0.00406576,-0.00363738,0.01328217,-0.00356824,0.00823673
20070510,-0.02288501,0.00430389,-0.01419511,-0.01693052,0.00000000,-0.01958574,-0.00829876,-0.01702724,-0.01183309,-0.01470588,-0.02065404,-0.01292705,-0.01530473,-0.01657965,-0.00569995,0.00284466,-0.01170732,-0.02516924,-0.02241971,0.00337079,-0.01855943,-0.00624783,-0.01829925,-0.01212717,-0.01310616,-0.00827465,-0.01923617,-0.00932129,-0.00380483,-0.01966717
